day_of_week,start_time,end_time,discipline,age_level,location
monday,18:00,19:00,Taekwondo,child,paris5_0
monday,19:00,20:30,Taekwondo,adult,paris5_0
monday,20:00,20:30,Taekwonkido,adult,paris5_0
monday,20:30,22:00,Taekwondo,adult,paris5_0
monday,20:30,22:00,Hapkido,adult,paris5_0
wednesday,18:00,19:00,Taekwondo,child,paris5_0
wednesday,19:00,20:30,Taekwondo,adult,paris5_0
wednesday,20:15,21:30,Hapkido,adult,paris5_0
wednesday,21:30,22:00,Hapkido,adult,paris5_0
friday,19:00,20:00,Taekwondo,child,paris5_0
friday,20:00,22:00,Taekwondo,adult,paris5_0
